run_dir,final_file,run_name,cfg_name,loss_abbr,residual_name,use_weight,use_norm,tau,epsA,seed,nepoch,initial_loss,final_loss,best_loss,initial_loss_norm,final_loss_norm,best_loss_norm,TV_norm,Curv_norm,IncFrac_norm,Epoch95,complex_nrse,complex_mae,mean_abs_dphi,mag_mae,loss_rank
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed1/L05_LOSS05__WRL1_F16_seed1_final.mat,L05_LOSS05__WRL1_F16_seed1,LOSS05__WRL1,WRL1,L1,1,1,0.01,0.0001,1,1000,3.83475780487061,0.00365186086855829,0.00210186326876283,1,0.000952305479089184,0.000548108479261247,0.00122519277051957,0.00136234767534352,0.462462462462462,2,0.004044934,0.0001172886,0.002192111,9.879377e-05,5
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed2/L05_LOSS05__WRL1_F16_seed2_final.mat,L05_LOSS05__WRL1_F16_seed2,LOSS05__WRL1,WRL1,L1,1,1,0.01,0.0001,2,1000,7.98063850402832,0.00228319549933076,0.00205474114045501,1,0.00028609183315073,0.000257465757836024,0.00111651815960713,0.00118814192687842,0.445445445445445,2,0.002550971,6.904673e-05,0.001485204,5.220254e-05,5
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed3/L05_LOSS05__WRL1_F16_seed3_final.mat,L05_LOSS05__WRL1_F16_seed3,LOSS05__WRL1,WRL1,L1,1,1,0.01,0.0001,3,1000,6.25635385513306,0.00230116792954504,0.0020554147195071,1,0.000367812943901349,0.000328532363593968,0.00114208280373078,0.00122701979324047,0.467467467467467,2,0.002829604,7.781189e-05,0.001521884,6.189047e-05,5
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed4/L05_LOSS05__WRL1_F16_seed4_final.mat,L05_LOSS05__WRL1_F16_seed4,LOSS05__WRL1,WRL1,L1,1,1,0.01,0.0001,4,1000,8.70985984802246,0.00225701206363738,0.00206874869763851,1,0.000259132994447646,0.000237518023680738,0.00110120062606992,0.00116432024070947,0.44044044044044,2,0.002024248,5.352328e-05,0.001235801,3.84102e-05,5
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed0/L06_LOSS06__WL1_F16_seed0_final.mat,L06_LOSS06__WL1_F16_seed0,LOSS06__WL1,WL1,L1,1,0,0.01,0.0001,0,1000,0.152418419718742,6.9619454734493e-05,6.65146071696654e-05,1,0.000456765362499899,0.000436394809055262,0.00116666408023937,0.00127388978257137,0.448448448448448,2,0.00232418,6.358203e-05,0.00190522,3.754042e-05,6
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed1/L06_LOSS06__WL1_F16_seed1_final.mat,L06_LOSS06__WL1_F16_seed1,LOSS06__WL1,WL1,L1,1,0,0.01,0.0001,1,1000,0.114141434431076,6.9158042606432e-05,6.44296596874483e-05,1,0.000605897787697708,0.000564472139399597,0.00123138921450136,0.00137862243262064,0.433433433433433,2,0.002118893,5.725384e-05,0.001537864,3.660502e-05,6
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed2/L06_LOSS06__WL1_F16_seed2_final.mat,L06_LOSS06__WL1_F16_seed2,LOSS06__WL1,WL1,L1,1,0,0.01,0.0001,2,1000,0.224497094750404,7.46003570384346e-05,5.83311084483285e-05,1,0.00033229987729407,0.000259830126145645,0.00112053142548204,0.00118920592076315,0.462462462462462,2,0.002810109,7.616961e-05,0.002200953,4.700701e-05,6
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed3/L06_LOSS06__WL1_F16_seed3_final.mat,L06_LOSS06__WL1_F16_seed3,LOSS06__WL1,WL1,L1,1,0,0.01,0.0001,3,1000,0.18303881585598,6.9748901296407e-05,6.7669345298782e-05,1,0.000381060710922034,0.00036969942677091,0.0011378799085124,0.00123319516806409,0.446446446446446,2,0.002852338,7.989776e-05,0.001712698,6.315928e-05,6
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed4/L06_LOSS06__WL1_F16_seed4_final.mat,L06_LOSS06__WL1_F16_seed4,LOSS06__WL1,WL1,L1,1,0,0.01,0.0001,4,1000,0.248048469424248,6.86756247887388e-05,6.86756247887388e-05,1,0.000276863731302772,0.000276863731302772,0.00112114838578042,0.0012046045850261,0.462462462462462,2,0.002614683,7.283429e-05,0.001917507,4.870537e-05,6
MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed0/L07_LOSS07__RL1_F16_seed0_final.mat,L07_LOSS07__RL1_F16_seed0,LOSS07__RL1,RL1,L1,0,1,0.01,0.0001,0,1000,6.18569898605347,0.00268831662833691,0.00248189573176205,1,0.000434601915547151,0.00040123124926671,0.00114376528780098,0.00123990248270788,0.473473473473473,2,0.002440055,6.535365e-05,0.001433631,4.679924e-05,7
MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed1/L07_LOSS07__RL1_F16_seed1_final.mat,L07_LOSS07__RL1_F16_seed1,LOSS07__RL1,RL1,L1,0,1,0.01,0.0001,1,1000,4.56282234191895,0.00262255570851266,0.00236531160771847,1,0.000574766123243299,0.00051838783771794,0.00123352254394128,0.0013890957649364,0.442442442442442,2,0.002199674,5.891972e-05,0.00127548,4.437997e-05,7
MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed2/L07_LOSS07__RL1_F16_seed2_final.mat,L07_LOSS07__RL1_F16_seed2,LOSS07__RL1,RL1,L1,0,1,0.01,0.0001,2,1000,9.5487174987793,0.00261573679745197,0.00249333772808313,1,0.000273935928860223,0.000261117550959266,0.00110848183382377,0.00117631573154404,0.457457457457457,2,0.002295596,6.193013e-05,0.001442199,4.513725e-05,7
MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed3/L07_LOSS07__RL1_F16_seed3_final.mat,L07_LOSS07__RL1_F16_seed3,LOSS07__RL1,RL1,L1,0,1,0.01,0.0001,3,1000,7.41748857498169,0.00266847782768309,0.00245943339541554,1,0.00035975489556985,0.000331572252596508,0.00114810705366179,0.00124502926379545,0.462462462462462,2,0.002258012,6.202707e-05,0.001575378,4.019795e-05,7
MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L07_LOSS07__RL1_F16_seed4/L07_LOSS07__RL1_F16_seed4_final.mat,L07_LOSS07__RL1_F16_seed4,LOSS07__RL1,RL1,L1,0,1,0.01,0.0001,4,1000,10.3218288421631,0.00251510995440185,0.00246627489104867,1,0.000243669023470726,0.000238937782127748,0.0011037760899212,0.00117702631868221,0.445445445445445,2,0.002233149,5.986654e-05,0.001506239,3.961148e-05,7
MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed0/L08_LOSS08__L1_F16_seed0_final.mat,L08_LOSS08__L1_F16_seed0,LOSS08__L1,L1,L1,0,0,0.01,0.0001,0,1000,0.171258002519608,8.12900907476433e-05,7.88202669355087e-05,1,0.000474664480209246,0.000460242825303795,0.00115175215230558,0.00125826731050221,0.442442442442442,2,0.002639134,7.107236e-05,0.001772126,4.864984e-05,8
MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed1/L08_LOSS08__L1_F16_seed1_final.mat,L08_LOSS08__L1_F16_seed1,LOSS08__L1,L1,L1,0,0,0.01,0.0001,1,1000,0.127678617835045,8.02643990027718e-05,7.73319261497818e-05,1,0.000628644015448772,0.000605676404248762,0.00122259367916293,0.00135728047736107,0.453453453453453,2,0.002683197,7.451652e-05,0.001964407,4.929702e-05,8
MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed2/L08_LOSS08__L1_F16_seed2_final.mat,L08_LOSS08__L1_F16_seed2,LOSS08__L1,L1,L1,0,0,0.01,0.0001,2,1000,0.254886358976364,7.68362297094427e-05,6.95406779414043e-05,1,0.000301452890684385,0.000272830127985989,0.001119225914804,0.00119000013415618,0.432432432432432,2,0.002414807,6.643865e-05,0.001470435,5.17772e-05,8
MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed3/L08_LOSS08__L1_F16_seed3_final.mat,L08_LOSS08__L1_F16_seed3,LOSS08__L1,L1,L1,0,0,0.01,0.0001,3,1000,0.209416538476944,7.69079051679e-05,7.31667460058816e-05,1,0.000367248478688646,0.000349383800047564,0.00114848622911979,0.0012539322702595,0.463463463463463,2,0.002373433,6.554954e-05,0.001756878,4.136967e-05,8
MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L08_LOSS08__L1_F16_seed4/L08_LOSS08__L1_F16_seed4_final.mat,L08_LOSS08__L1_F16_seed4,LOSS08__L1,L1,L1,0,0,0.01,0.0001,4,1000,0.282891988754272,7.70973128965124e-05,7.3699324275367e-05,1,0.000272532683714424,0.000260521072370784,0.00109943058568579,0.00116087310536869,0.439439439439439,2,0.002293539,6.262375e-05,0.00173168,4.066108e-05,8
