run_dir,final_file,run_name,cfg_name,loss_abbr,residual_name,residual_mode,use_weight,use_norm,tau,epsA,neuron_div,numNeurons,cfg_feature_idx,feature_idx,nfeatures,seed,final_train_loss,mean_abs_gt,mean_abs_pred,mean_abs_err,mean_dphi,std_dphi,mean_abs_dphi,complex_nrse,complex_mae,nrse_re,nrse_im,mag_nrse,mag_mae,loss_rank
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed0/L05_LOSS05__WRL1_F16_seed0_final.mat,L05_LOSS05__WRL1_F16_seed0,LOSS05__WRL1,WRL1,L1,2,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,0.00227875355631113,0.03003563,0.03003426,5.913515e-05,0.0008211052,0.004745701,0.001461481,0.002203621,5.913515e-05,0.001620015,0.006666545,0.001577205,3.837528e-05,5
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed1/L05_LOSS05__WRL1_F16_seed1_final.mat,L05_LOSS05__WRL1_F16_seed1,LOSS05__WRL1,WRL1,L1,2,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,1,0.00365186086855829,0.03004601,0.02996073,0.0001172886,-0.001167741,0.01053015,0.002192111,0.004044934,0.0001172886,0.003811744,0.007011569,0.003549195,9.879377e-05,5
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed2/L05_LOSS05__WRL1_F16_seed2_final.mat,L05_LOSS05__WRL1_F16_seed2,LOSS05__WRL1,WRL1,L1,2,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,2,0.00228319549933076,0.03004679,0.03008633,6.904673e-05,-0.0008548621,0.005932413,0.001485204,0.002550971,6.904673e-05,0.002065328,0.00683161,0.002081166,5.220254e-05,5
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed3/L05_LOSS05__WRL1_F16_seed3_final.mat,L05_LOSS05__WRL1_F16_seed3,LOSS05__WRL1,WRL1,L1,2,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,3,0.00230116792954504,0.03008805,0.0300338,7.781189e-05,0.0007621031,0.007534186,0.001521884,0.002829604,7.781189e-05,0.002411198,0.006881696,0.002398385,6.189047e-05,5
MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L05_LOSS05__WRL1_F16_seed4/L05_LOSS05__WRL1_F16_seed4_final.mat,L05_LOSS05__WRL1_F16_seed4,LOSS05__WRL1,WRL1,L1,2,1,1,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,4,0.00225701206363738,0.030074,0.03009072,5.352328e-05,-0.0001685691,0.007116168,0.001235801,0.002024248,5.352328e-05,0.001647023,0.005340228,0.001589917,3.84102e-05,5
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed0,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed0/L06_LOSS06__WL1_F16_seed0_final.mat,L06_LOSS06__WL1_F16_seed0,LOSS06__WL1,WL1,L1,2,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,0,6.9619454734493e-05,0.03003563,0.03004449,6.358203e-05,0.001323101,0.006525832,0.00190522,0.00232418,6.358203e-05,0.001635862,0.007331919,0.001540484,3.754042e-05,6
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed1,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed1/L06_LOSS06__WL1_F16_seed1_final.mat,L06_LOSS06__WL1_F16_seed1,LOSS06__WL1,WL1,L1,2,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,1,6.9158042606432e-05,0.03004601,0.03004324,5.725384e-05,0.0007877029,0.006324754,0.001537864,0.002118893,5.725384e-05,0.00160546,0.006222888,0.001493527,3.660502e-05,6
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed2,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed2/L06_LOSS06__WL1_F16_seed2_final.mat,L06_LOSS06__WL1_F16_seed2,LOSS06__WL1,WL1,L1,2,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,2,7.46003570384346e-05,0.03004679,0.03004793,7.616961e-05,-0.0006778698,0.008580543,0.002200953,0.002810109,7.616961e-05,0.002109443,0.008345628,0.001906657,4.700701e-05,6
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed3,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed3/L06_LOSS06__WL1_F16_seed3_final.mat,L06_LOSS06__WL1_F16_seed3,LOSS06__WL1,WL1,L1,2,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,3,6.9748901296407e-05,0.03008805,0.03003433,7.989776e-05,0.0009022345,0.01064305,0.001712698,0.002852338,7.989776e-05,0.002403334,0.007105244,0.002387167,6.315928e-05,6
MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed4,MIMOSA_loss8Abl_minChange_v1/L06_LOSS06__WL1_F16_seed4/L06_LOSS06__WL1_F16_seed4_final.mat,L06_LOSS06__WL1_F16_seed4,LOSS06__WL1,WL1,L1,2,1,0,0.01,0.0001,2,[80 120 160 180 240 260 300],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],[1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20],16,4,6.86756247887388e-05,0.030074,0.03004748,7.283429e-05,-0.001259887,0.008129702,0.001917507,0.002614683,7.283429e-05,0.002078554,0.007155791,0.001908191,4.870537e-05,6
