run_name,run_dir,mat_file,cfg_name,freq_mode,time_mode,useFW,nfeatures,feature_idx,final_train_loss,complex_nrse,complex_mae,mean_abs_dphi,mag_mae
A37_freqRaw-phaseTrig__PT-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A37_freqRaw-phaseTrig__PT-t_acq__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A37_freqRaw-phaseTrig__PT-t_acq__FW0_F17/A37_freqRaw-phaseTrig__PT-t_acq__FW0_F17_final.mat,freqRaw+phaseTrig__PT+t_acq__FW0,freqRaw+phaseTrig,PT+t_acq,0,17,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 21],0.301042824983597,0.003170416,8.659295e-05,0.002188084,6.033643e-05
A15_phaseTrig__PT__FW0_F14,MIMOSA_featAbl_loss1_tau0p01_v1/A15_phaseTrig__PT__FW0_F14,MIMOSA_featAbl_loss1_tau0p01_v1/A15_phaseTrig__PT__FW0_F14/A15_phaseTrig__PT__FW0_F14_final.mat,phaseTrig__PT__FW0,phaseTrig,PT,0,14,[1 2 3 4 5 6 7 8 9 12 13 14 15 16],0.301388293504715,0.003297356,9.344256e-05,0.00170752,7.819512e-05
A22_phaseTrig__t_acq__FW1_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A22_phaseTrig__t_acq__FW1_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A22_phaseTrig__t_acq__FW1_F15/A22_phaseTrig__t_acq__FW1_F15_final.mat,phaseTrig__t_acq__FW1,phaseTrig,t_acq,1,15,[1 2 3 4 5 6 7 8 9 12 13 14 15 21 22],0.301299750804901,0.003385458,9.19693e-05,0.001732289,7.565568e-05
A19_phaseTrig__PT-prepOH__FW0_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A19_phaseTrig__PT-prepOH__FW0_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A19_phaseTrig__PT-prepOH__FW0_F18/A19_phaseTrig__PT-prepOH__FW0_F18_final.mat,phaseTrig__PT+prepOH__FW0,phaseTrig,PT+prepOH,0,18,[1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20],0.300804674625397,0.003483211,0.0001004494,0.001822889,8.52985e-05
A41_freqRaw-phaseTrig__PT-prepOH-t_acq__FW0_F21,MIMOSA_featAbl_loss1_tau0p01_v1/A41_freqRaw-phaseTrig__PT-prepOH-t_acq__FW0_F21,MIMOSA_featAbl_loss1_tau0p01_v1/A41_freqRaw-phaseTrig__PT-prepOH-t_acq__FW0_F21/A41_freqRaw-phaseTrig__PT-prepOH-t_acq__FW0_F21_final.mat,freqRaw+phaseTrig__PT+prepOH+t_acq__FW0,freqRaw+phaseTrig,PT+prepOH+t_acq,0,21,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21],0.300630927085876,0.003597313,0.0001048825,0.001977897,8.835555e-05
A26_phaseTrig__prepOH-t_acq__FW1_F19,MIMOSA_featAbl_loss1_tau0p01_v1/A26_phaseTrig__prepOH-t_acq__FW1_F19,MIMOSA_featAbl_loss1_tau0p01_v1/A26_phaseTrig__prepOH-t_acq__FW1_F19/A26_phaseTrig__prepOH-t_acq__FW1_F19_final.mat,phaseTrig__prepOH+t_acq__FW1,phaseTrig,prepOH+t_acq,1,19,[1 2 3 4 5 6 7 8 9 12 13 14 15 17 18 19 20 21 22],0.300813317298889,0.003638925,0.0001025853,0.001857526,8.610605e-05
A35_freqRaw-phaseTrig__t_acq__FW0_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A35_freqRaw-phaseTrig__t_acq__FW0_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A35_freqRaw-phaseTrig__t_acq__FW0_F16/A35_freqRaw-phaseTrig__t_acq__FW0_F16_final.mat,freqRaw+phaseTrig__t_acq__FW0,freqRaw+phaseTrig,t_acq,0,16,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 21],0.301213771104813,0.00369642,0.0001057332,0.002765206,6.713197e-05
A18_phaseTrig__prepOH__FW1_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A18_phaseTrig__prepOH__FW1_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A18_phaseTrig__prepOH__FW1_F18/A18_phaseTrig__prepOH__FW1_F18_final.mat,phaseTrig__prepOH__FW1,phaseTrig,prepOH,1,18,[1 2 3 4 5 6 7 8 9 12 13 14 15 17 18 19 20 22],0.300818592309952,0.003833605,0.0001050866,0.001729022,8.981258e-05
A10_freqRaw__PT-t_acq__FW1_F14,MIMOSA_featAbl_loss1_tau0p01_v1/A10_freqRaw__PT-t_acq__FW1_F14,MIMOSA_featAbl_loss1_tau0p01_v1/A10_freqRaw__PT-t_acq__FW1_F14/A10_freqRaw__PT-t_acq__FW1_F14_final.mat,freqRaw__PT+t_acq__FW1,freqRaw,PT+t_acq,1,14,[1 2 3 4 5 6 7 8 9 10 11 16 21 22],0.301390945911407,0.00401328,0.0001078624,0.002952944,6.181691e-05
A38_freqRaw-phaseTrig__PT-t_acq__FW1_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A38_freqRaw-phaseTrig__PT-t_acq__FW1_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A38_freqRaw-phaseTrig__PT-t_acq__FW1_F18/A38_freqRaw-phaseTrig__PT-t_acq__FW1_F18_final.mat,freqRaw+phaseTrig__PT+t_acq__FW1,freqRaw+phaseTrig,PT+t_acq,1,18,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 21 22],0.300836652517319,0.00412091,0.0001128466,0.002801413,8.067128e-05
A25_phaseTrig__prepOH-t_acq__FW0_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A25_phaseTrig__prepOH-t_acq__FW0_F18,MIMOSA_featAbl_loss1_tau0p01_v1/A25_phaseTrig__prepOH-t_acq__FW0_F18/A25_phaseTrig__prepOH-t_acq__FW0_F18_final.mat,phaseTrig__prepOH+t_acq__FW0,phaseTrig,prepOH+t_acq,0,18,[1 2 3 4 5 6 7 8 9 12 13 14 15 17 18 19 20 21],0.300811439752579,0.004237995,0.0001236218,0.002254184,0.0001062493
A32_freqRaw-phaseTrig__prepOH__FW1_F20,MIMOSA_featAbl_loss1_tau0p01_v1/A32_freqRaw-phaseTrig__prepOH__FW1_F20,MIMOSA_featAbl_loss1_tau0p01_v1/A32_freqRaw-phaseTrig__prepOH__FW1_F20/A32_freqRaw-phaseTrig__prepOH__FW1_F20_final.mat,freqRaw+phaseTrig__prepOH__FW1,freqRaw+phaseTrig,prepOH,1,20,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 22],0.300801575183868,0.004326078,0.0001276382,0.001756678,0.0001161579
